name,HI_TOTAAL_S.0,DR_AV_MATE_VAN_VERHARDING_V.0,DR_BS_GROEN_PUBLIEK_V.0,intervention_priority,priority_class
RK_Concertgebouwbuurt,2.42,81.0,13.0,0.40441767068273093,High
RK_Westelijke eilanden,3.21,58.0,22.0,0.40421686746987956,High
RK_Landlust Zuid,3.0,67.0,28.0,0.40401606425702813,High
RK_Houthavens West,3.21,47.0,8.0,0.3983935742971888,High
RK_Scheldebuurt Oost,2.92,71.0,36.0,0.39618473895582335,High
RK_Rembrandtpleinbuurt,2.79,69.0,20.0,0.39437751004016064,High
RK_Gelderlandpleinbuurt,3.25,65.0,43.0,0.3937751004016064,High
RK_Marnixbuurt Noord,2.96,64.0,21.0,0.3933734939759036,High
RK_Amstel III deel C/D Noord,2.5,81.0,22.0,0.3933734939759036,High
RK_Entrepot-Noordwest,3.0,65.0,26.0,0.3927710843373494,High
RK_Hemonybuurt,2.79,67.0,16.0,0.38975903614457835,High
RK_Da Costabuurt Zuid,2.83,66.0,17.0,0.38955823293172687,High
RK_Borneo,3.17,45.0,5.0,0.3885542168674699,High
RK_Circus/Kermisbuurt,3.04,67.0,36.0,0.388152610441767,High
RK_Banne Zuidoost,3.38,62.0,42.0,0.3871485943775101,High
RK_Herensingelkwartier,2.38,78.0,9.0,0.3849397590361446,High
RK_Nieuw Sloten Zuidwest,2.67,75.0,23.0,0.3839357429718876,High
RK_Osdorp Zuidoost,3.5,60.0,44.0,0.3837349397590362,High
RK_Lootsbuurt,2.71,68.0,9.0,0.38132530120481933,High
RK_Betondorp,2.92,69.0,34.0,0.3799196787148595,High
RK_Cremerbuurt Oost,2.46,77.0,13.0,0.37791164658634546,High
RK_Kromme Mijdrechtbuurt,2.58,76.0,19.0,0.37670682730923694,High
RK_Landlust Noord,2.75,73.0,29.0,0.3761044176706827,High
RK_Weespertrekvaart,2.71,75.0,28.0,0.3759036144578314,High
RK_Jacques Veltmanbuurt,3.17,65.0,44.0,0.3740963855421687,High
RK_Hogewey Midden,2.75,75.0,35.0,0.3738955823293173,High
RK_Buiksloterham,3.04,51.0,6.0,0.373293172690763,High
RK_Lastage,2.88,62.0,14.0,0.370281124497992,High
RK_Scheldebuurt Midden,2.75,73.0,31.0,0.37008032128514057,Medium
RK_Calandlaan/Lelylaan,3.21,63.0,41.0,0.36847389558232935,Medium
RK_Wildeman,3.63,58.0,49.0,0.3682730923694779,Medium
RK_IJplein e0o0,3.67,39.0,26.0,0.3674698795180723,Medium
RK_Schildersbuurt,2.79,72.0,35.0,0.3674698795180723,Medium
RK_Buurt 6,3.21,63.0,42.0,0.3662650602409639,Medium
RK_Gein Zuidwest,2.92,68.0,35.0,0.36546184738955834,Medium
RK_Amstel III deel C/D Zuid,2.04,85.0,18.0,0.3652610441767069,Medium
RK_Trompbuurt,2.71,72.0,25.0,0.36425702811244987,Medium
RK_Gein Noordwest,3.17,63.0,40.0,0.36244979919678716,Medium
RK_Jacob Geelbuurt,3.21,63.0,44.0,0.36084337349397594,Medium
RK_Delflandpleinbuurt Oost,3.0,66.0,38.0,0.36004016064257033,Medium
RK_Leidsebuurt Noordwest,2.0,82.0,14.0,0.3598393574297189,Medium
RK_Planciusbuurt Zuid,2.96,60.0,20.0,0.3594377510040161,Medium
RK_Uilenburg,2.71,68.0,16.0,0.3592369477911647,Medium
RK_Haarlemmerbuurt Oost,2.54,77.0,23.0,0.3586345381526105,Medium
RK_Westerstaatsman,2.54,77.0,23.0,0.3586345381526105,Medium
RK_Bedrijventerrein Hamerstraat,2.79,61.0,6.0,0.35602409638554217,Medium
RK_Medisch Centrum Slotervaart,2.75,75.0,40.0,0.35562248995983936,Medium
RK_Orteliusbuurt Midden,2.67,75.0,29.0,0.35562248995983936,Medium
RK_Bedrijvencentrum Osdorp,2.63,77.0,31.0,0.35361445783132534,Medium
RK_Weesperbuurt,3.0,59.0,23.0,0.35180722891566263,Medium
RK_Van der Pekbuurt,3.13,61.0,35.0,0.35180722891566263,Medium
RK_BG-terrein e0o0,2.29,77.0,12.0,0.35020080321285146,Medium
RK_Minervabuurt Midden,2.5,77.0,23.0,0.34979919678714866,Medium
RK_Sarphatiparkbuurt,2.79,71.0,37.0,0.3491967871485944,Medium
RK_Minervabuurt Zuid,2.63,73.0,23.0,0.348995983935743,Medium
RK_Buurt 7,3.29,61.0,48.0,0.3487951807228916,Medium
RK_Paramariboplein e0o0,2.71,70.0,24.0,0.344578313253012,Medium
RK_Banne Zuidwest,3.83,54.0,52.0,0.34397590361445785,Medium
RK_Delflandpleinbuurt West,2.92,67.0,38.0,0.34357429718875504,Medium
RK_Marnixbuurt Zuid,2.63,70.0,17.0,0.3429718875502008,Medium
RK_Linnaeusparkbuurt,2.58,74.0,22.0,0.3423694779116466,Medium
RK_Zeeheldenbuurt,2.33,76.0,13.0,0.3409638554216868,Medium
RK_Bloemenbuurt Noord,3.17,62.0,44.0,0.34076305220883535,Medium
RK_Venserpolder West,3.25,60.0,44.0,0.34076305220883535,Medium
RK_Sporenburg,3.13,36.0,11.0,0.3407630522088353,Medium
RK_Banpleinbuurt,2.71,70.0,25.0,0.3401606425702811,Medium
RK_Marjoleinterrein,2.83,68.0,34.0,0.33975903614457836,Medium
RK_Leliegracht e0o0,2.79,65.0,23.0,0.3385542168674699,Medium
RK_Vondelparkbuurt Midden,2.54,72.0,17.0,0.3377510040160643,Medium
